Time,User,SC,DC,M
150885,U620@DOM1,C17693,C1003,1
151036,U748@DOM1,C17693,C305,1
151648,U748@DOM1,C17693,C728,1
151993,U6115@DOM1,C17693,C1173,1
153792,U636@DOM1,C17693,C294,1
155219,U748@DOM1,C17693,C5693,1
155399,U748@DOM1,C17693,C152,1
155460,U748@DOM1,C17693,C2341,1
155591,U748@DOM1,C17693,C332,1
156658,U748@DOM1,C17693,C4280,1
210086,U748@DOM1,C18025,C1493,1
210294,U748@DOM1,C18025,C1493,1
210312,U748@DOM1,C18025,C1493,1
218418,U748@DOM1,C17693,C504,1
227052,U748@DOM1,C17693,C148,1
227408,U748@DOM1,C17693,C148,1
227520,U748@DOM1,C17693,C148,1
227780,U748@DOM1,C17693,C148,1
228024,U748@DOM1,C17693,C148,1
228150,U748@DOM1,C17693,C148,1
228642,U1723@DOM1,C17693,C231,1
228658,U1723@DOM1,C17693,C231,1
229046,U1723@DOM1,C17693,C231,1
230395,U1723@DOM1,C17693,C1003,1
234667,U748@DOM1,C17693,C504,1
460197,U748@DOM1,C17693,C721,1
460711,U748@DOM1,C17693,C721,1
460991,U748@DOM1,C17693,C721,1
461842,U748@DOM1,C17693,C1567,1
463374,U748@DOM1,C17693,C1003,1
464246,U748@DOM1,C17693,C1567,1
464254,U748@DOM1,C17693,C1567,1
464260,U748@DOM1,C17693,C1567,1
464545,U737@DOM1,C19932,C612,1
466195,U737@DOM1,C19932,C457,1
467590,U1723@DOM1,C17693,C17600,1
472248,U1723@DOM1,C17693,C2519,1
472282,U1723@DOM1,C17693,C2519,1
473122,U1723@DOM1,C17693,C1275,1
483455,U1723@DOM1,C17693,C294,1
483981,U1723@DOM1,C17693,C294,1
485925,U1723@DOM1,C17693,C294,1
486443,U636@DOM1,C17693,C294,1
488034,U1723@DOM1,C17693,C1275,1
489614,U1723@DOM1,C17693,C1275,1
491747,U1723@DOM1,C17693,C294,1
578438,U737@DOM1,C19932,C1065,1
584551,U825@DOM1,C17693,C2669,1
584564,U737@DOM1,C19932,C612,1
635015,U737@DOM1,C19932,C529,1
725488,U1653@DOM1,C17693,C395,1
725589,U1653@DOM1,C17693,C2669,1
725983,U293@DOM1,C17693,C3153,1
726008,U8946@DOM1,C17693,C1610,1
726057,U293@DOM1,C17693,C3153,1
726137,U10379@C3521,C17693,C3521,1
726203,U293@DOM1,C17693,C3153,1
726347,U8946@DOM1,C17693,C1124,1
726387,U293@DOM1,C17693,C3153,1
726472,U8946@DOM1,C17693,C3199,1
726973,U293@DOM1,C17693,C3153,1
726985,U8946@DOM1,C17693,C11727,1
727060,U8601@DOM1,C17693,C754,1
727131,U212@DOM1,C17693,C126,1
727419,U212@DOM1,C17693,C126,1
727619,U212@DOM1,C17693,C126,1
727702,U8946@DOM1,C17693,C9945,1
727798,U8946@DOM1,C17693,C9945,1
727888,U8946@DOM1,C17693,C9945,1
728106,U4978@DOM1,C17693,C1448,1
728138,U8946@DOM1,C17693,C9945,1
728800,U3905@DOM1,C17693,C9945,1
729056,U995@DOM1,C17693,C1014,1
730430,U8601@DOM1,C17693,C20819,1
730524,U8601@DOM1,C17693,C20819,1
730889,U8601@DOM1,C17693,C18626,1
731101,U8601@DOM1,C17693,C18626,1
731492,U288@DOM1,C17693,C1222,1
736582,U2837@DOM1,C17693,C89,1
736894,U2837@DOM1,C17693,C1484,1
736936,U2837@DOM1,C17693,C8490,1
737011,U349@DOM1,C17693,C3601,1
737055,U2837@DOM1,C17693,C1784,1
737069,U2837@DOM1,C17693,C1784,1
737075,U2837@DOM1,C17693,C1784,1
737099,U2837@DOM1,C17693,C2519,1
737108,U8946@DOM1,C17693,C11194,1
737301,U2837@DOM1,C17693,C395,1
737761,U8946@DOM1,C17693,C10577,1
737908,U8601@DOM1,C17693,C18872,1
738382,U293@DOM1,C17693,C2597,1
738711,U293@DOM1,C17693,C2609,1
738916,U250@DOM1,C17693,C2849,1
739092,U293@DOM1,C17693,C3422,1
739214,U293@DOM1,C17693,C3153,1
739398,U293@DOM1,C17693,C42,1
739706,U1600@DOM1,C17693,C92,1
739734,U1600@DOM1,C17693,C16088,1
740104,U1600@DOM1,C17693,C92,1
740912,U349@DOM1,C17693,C886,1
740920,U349@DOM1,C17693,C886,1
741010,U8601@DOM1,C17693,C10817,1
741190,U4353@DOM1,C17693,C15232,1
741544,U349@DOM1,C17693,C801,1
741971,U4856@DOM1,C17693,C1015,1
743030,U5087@DOM1,C17693,C1448,1
743134,U5087@DOM1,C17693,C359,1
743223,U5087@DOM1,C17693,C21963,1
743232,U5087@DOM1,C17693,C359,1
743403,U5087@DOM1,C17693,C21963,1
743411,U5087@DOM1,C17693,C21963,1
743502,U5087@DOM1,C17693,C1268,1
743509,U5087@DOM1,C17693,C353,1
743733,U9763@DOM1,C17693,C353,1
743965,U9763@DOM1,C17693,C21814,1
744145,U5087@DOM1,C17693,C21814,1
744215,U795@DOM1,C17693,C10005,1
744255,U5087@DOM1,C17693,C353,1
744902,U9947@DOM1,C17693,C20966,1
745795,U9947@DOM1,C17693,C853,1
745961,U9947@DOM1,C17693,C853,1
746039,U9947@DOM1,C17693,C853,1
746078,U9947@DOM1,C17693,C923,1
746151,U882@DOM1,C17693,C11039,1
746353,U882@DOM1,C17693,C1616,1
746387,U8777@C583,C17693,C583,1
746595,U882@DOM1,C17693,C1616,1
746638,U9947@DOM1,C17693,C346,1
746860,U9947@DOM1,C17693,C20203,1
747001,U1450@DOM1,C17693,C12448,1
747145,U9947@DOM1,C17693,C20203,1
747163,U1450@DOM1,C17693,C12448,1
747229,U8777@C583,C17693,C583,1
747247,U8777@C1500,C17693,C1500,1
747259,U1450@DOM1,C17693,C12448,1
747388,U9947@DOM1,C17693,C346,1
747457,U9947@DOM1,C17693,C1479,1
747478,U8777@C3388,C17693,C3388,1
747653,U1450@DOM1,C17693,C12448,1
747939,U374@DOM1,C17693,C1461,1
748041,U1450@DOM1,C17693,C1119,1
748127,U2575@DOM1,C17693,C19156,1
748207,U2575@DOM1,C17693,C19156,1
748272,U1450@DOM1,C17693,C18113,1
748397,U374@DOM1,C17693,C1461,1
748428,U1450@DOM1,C17693,C18113,1
748806,U9947@DOM1,C17693,C19803,1
748860,U9947@DOM1,C17693,C17425,1
749000,U9947@DOM1,C17693,C19803,1
749054,U9947@DOM1,C17693,C19803,1
749816,U3718@DOM1,C17693,C9692,1
749823,U9947@DOM1,C17693,C7131,1
750304,U2575@DOM1,C17693,C8172,1
750307,U342@DOM1,C17693,C7503,1
750419,U342@DOM1,C17693,C7503,1
751373,U737@DOM1,C17693,C7597,1
751918,U737@DOM1,C17693,C2578,1
752606,U6572@DOM1,C17693,C90,1
752613,U737@DOM1,C17693,C21814,1
752892,U2575@DOM1,C17693,C1477,1
753250,U9763@DOM1,C17693,C21814,1
753336,U162@DOM1,C17693,C4845,1
754096,U162@DOM1,C17693,C3292,1
754601,U2575@DOM1,C17693,C7597,1
754921,U314@DOM1,C17693,C2914,1
755200,U737@DOM1,C17693,C19356,1
755904,U162@DOM1,C17693,C798,1
756149,U737@DOM1,C17693,C302,1
757235,U737@DOM1,C17693,C1125,1
757456,U737@DOM1,C17693,C3437,1
757625,U642@DOM1,C17693,C2648,1
757755,U642@DOM1,C17693,C2648,1
758430,U737@DOM1,C17693,C6513,1
758915,U737@DOM1,C17693,C15197,1
759396,U3635@DOM1,C17693,C17806,1
760075,U1653@DOM1,C17693,C395,1
760132,U1653@DOM1,C17693,C754,1
760148,U1653@DOM1,C17693,C706,1
760168,U1653@DOM1,C17693,C231,1
760175,U1653@DOM1,C17693,C2669,1
760196,U3635@DOM1,C17693,C16467,1
760388,U342@DOM1,C17693,C6487,1
760473,U342@DOM1,C17693,C6487,1
760694,U342@DOM1,C17693,C113,1
760807,U3635@DOM1,C17693,C2816,1
761028,U342@DOM1,C17693,C458,1
761039,U3635@DOM1,C17693,C21664,1
761134,U3635@DOM1,C17693,C2085,1
761173,U342@DOM1,C17693,C3586,1
761524,U3635@DOM1,C17693,C19444,1
762009,U3635@DOM1,C17693,C917,1
762157,U3635@DOM1,C17693,C917,1
762536,U3635@DOM1,C17693,C12682,1
762568,U3635@DOM1,C17693,C12682,1
762834,U3635@DOM1,C17693,C2091,1
762845,U3635@DOM1,C17693,C1506,1
763783,U3635@DOM1,C17693,C12512,1
764106,U293@DOM1,C17693,C231,1
764120,U293@DOM1,C17693,C706,1
764133,U293@DOM1,C17693,C882,1
764140,U1480@DOM1,C17693,C881,1
764180,U1480@DOM1,C17693,C2388,1
764249,U293@DOM1,C17693,C46,1
764281,U293@DOM1,C17693,C883,1
764284,U1480@DOM1,C17693,C1191,1
764310,U1480@DOM1,C17693,C5653,1
764405,U293@DOM1,C17693,C633,1
764522,U1480@DOM1,C17693,C1183,1
764561,U293@DOM1,C17693,C2844,1
764570,U1480@DOM1,C17693,C1776,1
764595,U1480@DOM1,C17693,C464,1
764673,U293@DOM1,C17693,C5453,1
764752,U293@DOM1,C17693,C4161,1
764900,U293@DOM1,C17693,C513,1
764929,U1480@DOM1,C17693,C1,1
764943,U1480@DOM1,C17693,C1776,1
765016,U293@DOM1,C17693,C1215,1
765175,U293@DOM1,C17693,C2849,1
765231,U1480@DOM1,C17693,C2012,1
765278,U293@DOM1,C17693,C3455,1
765488,U293@DOM1,C17693,C4159,1
765776,U162@DOM1,C17693,C1006,1
765788,U162@DOM1,C17693,C92,1
765805,U293@DOM1,C17693,C801,1
765817,U162@DOM1,C17693,C1022,1
765934,U314@DOM1,C17693,C2914,1
765960,U293@DOM1,C17693,C11039,1
766132,U293@DOM1,C17693,C1737,1
766150,U293@DOM1,C17693,C1710,1
766164,U293@DOM1,C17693,C231,1
766183,U293@DOM1,C17693,C395,1
766534,U162@DOM1,C17693,C3435,1
766588,U162@DOM1,C17693,C3435,1
766788,U66@DOM1,C17693,C3435,1
766846,U66@DOM1,C17693,C61,1
766879,U1164@DOM1,C17693,C2091,1
767001,U66@DOM1,C17693,C307,1
767180,U66@DOM1,C17693,C3699,1
767187,U2837@DOM1,C17693,C395,1
767195,U2837@DOM1,C17693,C2519,1
767205,U2837@DOM1,C17693,C1784,1
767225,U2837@DOM1,C17693,C1784,1
767233,U2837@DOM1,C17693,C8490,1
767238,U2837@DOM1,C17693,C1484,1
767246,U2837@DOM1,C17693,C89,1
767288,U66@DOM1,C17693,C3755,1
767289,U7394@DOM1,C17693,C492,1
767300,U7394@DOM1,C17693,C1797,1
767320,U7394@DOM1,C17693,C1797,1
767445,U4353@DOM1,C17693,C801,1
767813,U66@DOM1,C17693,C2944,1
767865,U4353@DOM1,C17693,C2519,1
767944,U4353@DOM1,C17693,C17636,1
768006,U1048@DOM1,C17693,C12320,1
768058,U4353@DOM1,C17693,C17636,1
768162,U4353@DOM1,C17693,C18190,1
768220,U4353@DOM1,C17693,C18190,1
768373,U4353@DOM1,C17693,C21349,1
768404,U66@DOM1,C17693,C2196,1
768546,U4353@DOM1,C17693,C17860,1
768556,U66@DOM1,C17693,C306,1
768634,U66@DOM1,C17693,C306,1
768636,U5254@DOM1,C17693,C12320,1
768646,U4353@DOM1,C17693,C17636,1
768664,U4353@DOM1,C17693,C17636,1
768685,U4353@DOM1,C17693,C17776,1
768742,U66@DOM1,C17693,C1944,1
768832,U995@DOM1,C17693,C3173,1
768847,U995@DOM1,C17693,C2058,1
769022,U8601@DOM1,C17693,C636,1
769067,U1048@DOM1,C17693,C2846,1
769069,U5254@DOM1,C17693,C636,1
769094,U66@DOM1,C17693,C1732,1
769149,U1048@DOM1,C17693,C2846,1
769352,U66@DOM1,C17693,C1028,1
769431,U1048@DOM1,C17693,C231,1
769440,U1048@DOM1,C17693,C706,1
769461,U1048@DOM1,C17693,C7464,1
769507,U66@DOM1,C17693,C1823,1
769626,U1048@DOM1,C17693,C13713,1
769638,U66@DOM1,C17693,C779,1
769751,U66@DOM1,C17693,C3305,1
769822,U1048@DOM1,C17693,C20455,1
769933,U66@DOM1,C17693,C1952,1
770056,U66@DOM1,C17693,C2388,1
770115,U7375@DOM1,C17693,C2519,1
770138,U737@DOM1,C17693,C7597,1
770222,U9763@DOM1,C17693,C11178,1
770387,U7375@DOM1,C17693,C1415,1
770512,U4448@DOM1,C17693,C11178,1
770601,U7375@DOM1,C17693,C636,1
770651,U66@DOM1,C17693,C765,1
770726,U7375@DOM1,C17693,C7782,1
770816,U66@DOM1,C17693,C92,1
770870,U7375@DOM1,C17693,C21946,1
770932,U7375@DOM1,C17693,C143,1
770950,U66@DOM1,C17693,C742,1
771133,U7375@DOM1,C17693,C1626,1
771134,U4448@DOM1,C17693,C1555,1
771340,U9763@DOM1,C17693,C353,1
771380,U9763@DOM1,C17693,C1089,1
771393,U9763@DOM1,C17693,C2057,1
771401,U9763@DOM1,C17693,C1503,1
771443,U4448@DOM1,C17693,C1503,1
771463,U4448@DOM1,C17693,C400,1
771615,U4448@DOM1,C17693,C2519,1
771631,U4448@DOM1,C17693,C1549,1
772253,U66@DOM1,C17693,C5653,1
772715,U66@DOM1,C17693,C5653,1
772864,U66@DOM1,C17693,C398,1
772906,U218@DOM1,C17693,C3755,1
772934,U218@DOM1,C17693,C2079,1
772964,U218@DOM1,C17693,C1936,1
773143,U4112@DOM1,C17693,C1611,1
773153,U4112@DOM1,C17693,C3758,1
773270,U4978@DOM1,C17693,C12116,1
773387,U4978@DOM1,C17693,C1438,1
773961,U66@DOM1,C17693,C765,1
774180,U66@DOM1,C17693,C1710,1
774214,U66@DOM1,C17693,C1966,1
774452,U66@DOM1,C17693,C2388,1
774492,U162@DOM1,C17693,C2388,1
774514,U218@DOM1,C17693,C2388,1
830548,U1653@DOM1,C22409,C754,1
830548,U1653@DOM1,C22409,C754,1
830548,U1653@DOM1,C22409,C754,1
830548,U1653@DOM1,C22409,C754,1
830548,U1653@DOM1,C22409,C754,1
830550,U1653@DOM1,C22409,C754,1
830578,U1653@DOM1,C22409,C754,1
830578,U1653@DOM1,C22409,C754,1
830578,U1653@DOM1,C22409,C754,1
830578,U1653@DOM1,C22409,C754,1
830580,U1653@DOM1,C22409,C754,1
830580,U1653@DOM1,C22409,C754,1
830822,U1653@DOM1,C22409,C754,1
830822,U1653@DOM1,C22409,C754,1
830822,U1653@DOM1,C22409,C754,1
1066394,U66@DOM1,C17693,C3610,1
1066725,U66@DOM1,C17693,C881,1
1066734,U66@DOM1,C17693,C1482,1
1066786,U66@DOM1,C17693,C2388,1
1068312,U12@DOM1,C17693,C366,1
1068390,U66@DOM1,C17693,C3813,1
1068507,U66@DOM1,C17693,C4610,1
1068638,U66@DOM1,C17693,C626,1
1068692,U66@DOM1,C17693,C626,1
1068753,U66@DOM1,C17693,C626,1
1068810,U66@DOM1,C17693,C1191,1
1068887,U12@DOM1,C17693,C368,1
1069035,U66@DOM1,C17693,C1006,1
1069965,U66@DOM1,C17693,C3755,1
1070004,U1723@DOM1,C17693,C1438,1
1070020,U1723@DOM1,C17693,C1438,1
1070026,U1723@DOM1,C17693,C1438,1
1070066,U4448@DOM1,C17693,C1438,1
1070076,U4448@DOM1,C17693,C1438,1
1070100,U5254@DOM1,C17693,C1438,1
1070107,U66@DOM1,C17693,C398,1
1070146,U3635@DOM1,C17693,C1438,1
1070182,U2575@DOM1,C17693,C1438,1
1070204,U4112@DOM1,C17693,C1438,1
1070442,U342@DOM1,C17693,C2519,1
1070496,U342@DOM1,C17693,C2519,1
1071248,U66@DOM1,C17693,C5653,1
1071508,U13@DOM1,C17693,C430,1
1071580,U12@DOM1,C17693,C368,1
1072230,U13@DOM1,C17693,C3288,1
1072237,U66@DOM1,C17693,C92,1
1072316,U1289@DOM1,C17693,C2519,1
1072375,U66@DOM1,C17693,C5653,1
1072432,U2575@DOM1,C17693,C2519,1
1072444,U1289@DOM1,C17693,C2519,1
1072594,U218@DOM1,C17693,C3288,1
1072660,U3277@C2519,C17693,C2519,1
1072662,U66@DOM1,C17693,C3288,1
1072710,U342@DOM1,C17693,C2519,1
1072860,U342@DOM1,C17693,C2519,1
1072904,U66@DOM1,C17693,C849,1
1072952,U1519@DOM1,C17693,C849,1
1072980,U66@DOM1,C17693,C1737,1
1072989,U66@DOM1,C17693,C2012,1
1072998,U7761@C2519,C17693,C2519,1
1072998,U66@DOM1,C17693,C2079,1
1073108,U66@DOM1,C17693,C102,1
1073709,U66@DOM1,C17693,C1042,1
1073778,U7004@C2519,C17693,C2519,1
1073810,U7761@C2519,C17693,C2519,1
1073892,U4448@DOM1,C17693,C22275,1
1073973,U66@DOM1,C17693,C92,1
1074074,U66@DOM1,C17693,C1944,1
1074146,U66@DOM1,C17693,C1737,1
1074158,U66@DOM1,C17693,C2079,1
1074182,U66@DOM1,C17693,C1964,1
1074395,U66@DOM1,C17693,C1961,1
1074512,U66@DOM1,C17693,C423,1
1074519,U218@DOM1,C17693,C92,1
1074529,U218@DOM1,C17693,C92,1
1074543,U218@DOM1,C17693,C92,1
1074590,U218@DOM1,C17693,C5653,1
1074741,U66@DOM1,C17693,C1936,1
1074754,U66@DOM1,C17693,C1737,1
1074902,U66@DOM1,C17693,C2388,1
1074927,U66@DOM1,C17693,C3380,1
1074955,U66@DOM1,C17693,C3635,1
1074964,U66@DOM1,C17693,C2388,1
1075026,U207@DOM1,C17693,C2388,1
1075076,U162@DOM1,C17693,C2388,1
1075096,U1145@DOM1,C17693,C2388,1
1075114,U453@DOM1,C17693,C2388,1
1075158,U1480@DOM1,C17693,C2388,1
1075345,U66@DOM1,C17693,C452,1
1075356,U66@DOM1,C17693,C1015,1
1075370,U66@DOM1,C17693,C22174,1
1075526,U9263@DOM1,C17693,C1015,1
1075605,U66@DOM1,C17693,C5439,1
1075609,U66@DOM1,C17693,C5439,1
1075721,U66@DOM1,C17693,C4106,1
1075884,U20@DOM1,C17693,C368,1
1075914,U66@DOM1,C17693,C368,1
1075935,U66@DOM1,C17693,C5343,1
1075980,U12@DOM1,C17693,C368,1
1076286,U66@DOM1,C17693,C1482,1
1076295,U66@DOM1,C17693,C881,1
1076311,U66@DOM1,C17693,C2013,1
1076662,U1480@DOM1,C17693,C2388,1
1076742,U453@DOM1,C17693,C2388,1
1076776,U162@DOM1,C17693,C2388,1
1076812,U207@DOM1,C17693,C2388,1
1077008,U66@DOM1,C17693,C2388,1
1077014,U66@DOM1,C17693,C2388,1
1077018,U66@DOM1,C17693,C2388,1
1077024,U66@DOM1,C17693,C2388,1
1077048,U7507@DOM1,C17693,C486,1
1077076,U415@DOM1,C17693,C486,1
1077140,U218@DOM1,C17693,C1710,1
1077169,U415@DOM1,C17693,C1570,1
1077228,U218@DOM1,C17693,C2079,1
1077256,U218@DOM1,C17693,C2388,1
1077293,U218@DOM1,C17693,C1936,1
1077500,U1145@DOM1,C17693,C2388,1
1077516,U1145@DOM1,C17693,C1737,1
1077530,U1145@DOM1,C17693,C2877,1
1077579,U1145@DOM1,C17693,C3019,1
1077589,U1145@DOM1,C17693,C115,1
1077598,U1145@DOM1,C17693,C307,1
1077746,U1145@DOM1,C17693,C2877,1
1077864,U1145@DOM1,C17693,C2877,1
1077992,U1145@DOM1,C17693,C3173,1
1078024,U415@DOM1,C17693,C3173,1
1078070,U1569@DOM1,C17693,C3019,1
1078099,U1145@DOM1,C17693,C3019,1
1078108,U415@DOM1,C17693,C1906,1
1078155,U1581@DOM1,C17693,C3019,1
1078163,U6764@DOM1,C17693,C3019,1
1078177,U66@DOM1,C17693,C3019,1
1078582,U1789@DOM1,C17693,C3019,1
1079716,U66@DOM1,C17693,C22174,1
1079728,U66@DOM1,C17693,C22176,1
